id:ID,name,description,content,:LABEL
1,policy,"Top-level container for an ordered set of rules, used to examine and modify an XDS document.","description?, (rule | include)*",Element
2,description,Description of a <policy> or a <rule>,#PCDATA,Element
4,include,Include rules from another policy,EMPTY,Element
3,rule,A fundamental building block specifying a set of conditions and actions.,"description?, comment*, conditions, actions",Element
5,comment,Long description of a <rule>,#PCDATA,Element
6,conditions,Defines criteria (CNF or DNF) that must be met for actions to be performed.,(and* | or*),Element
7,and,Logical conjunction (AND) of tests.,(%CONDITIONS;)*,Element
9,or,Logical disjunction (OR) of tests.,(%CONDITIONS;)*,Element
10,actions,The operations (<do-*>) performed when conditions are met.,(%ACTIONS;)*,Element
11,do-add-association,Add an association to the current object.,"arg-dn?, arg-association",Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
15,do-add-dest-attr-value,Add a value to a destination attribute.,"(arg-dn | arg-association)?, arg-value",Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
16,arg-value,Value argument.,(arg-component+ | (%TOKENS;)*),Element
17,do-add-dest-object,Add a destination object.,arg-dn,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
18,do-add-role,Add a role.,"arg-password, (arg-dn | arg-association)?, arg-string*",Element
19,arg-password,Password argument.,(%TOKENS;)*,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
20,arg-string,String argument.,(%TOKENS;)*,Element
21,do-add-resource,Add a resource.,"arg-password, (arg-dn | arg-association)?, arg-string*",Element
19,arg-password,Password argument.,(%TOKENS;)*,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
20,arg-string,String argument.,(%TOKENS;)*,Element
22,do-add-src-attr-value,Add a value to a source attribute.,"(arg-dn | arg-association)?, arg-value",Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
16,arg-value,Value argument.,(arg-component+ | (%TOKENS;)*),Element
23,do-add-src-object,Add a source object.,arg-dn,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
24,do-append-xml-element,Append an XML element.,EMPTY,Element
25,do-append-xml-text,Append XML text.,arg-string,Element
20,arg-string,String argument.,(%TOKENS;)*,Element
26,do-break,Break out of the current loop or action.,EMPTY,Element
27,do-clear-dest-attr-value,Clear a destination attribute value.,(arg-dn | arg-association)?,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
28,do-clear-op-property,Clear an operation property.,EMPTY,Element
29,do-clear-src-attr-value,Clear a source attribute value.,(arg-dn | arg-association)?,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
30,do-clone-op-attr,Clone an operation attribute.,EMPTY,Element
31,do-clone-xpath,Clone an XPath expression.,EMPTY,Element
32,do-create-resource,Create a resource.,"arg-password, arg-string*",Element
19,arg-password,Password argument.,(%TOKENS;)*,Element
20,arg-string,String argument.,(%TOKENS;)*,Element
33,do-create-role,Create a role.,"arg-password, arg-string*",Element
19,arg-password,Password argument.,(%TOKENS;)*,Element
20,arg-string,String argument.,(%TOKENS;)*,Element
34,do-delete-dest-object,Delete a destination object.,(arg-dn | arg-association)?,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
14,arg-association,Association argument.,(%TOKENS;)*,Element
35,do-delete-src-object,Delete a source object.,(arg-dn | arg-association)?,Element
13,arg-dn,DN argument.,(%TOKENS;)*,Element
