:START_ID,:END_ID,:TYPE
2,1,CHILD_OF
2,1,PARENT
2,3,PARENT
4,1,CHILD_OF
4,1,PARENT
3,1,CHILD_OF
3,1,PARENT
5,3,CHILD_OF
5,3,PARENT
6,3,CHILD_OF
6,3,PARENT
7,6,CHILD_OF
7,6,PARENT
7,8,PARENT
9,6,CHILD_OF
9,6,PARENT
9,8,PARENT
10,3,CHILD_OF
10,3,PARENT
11,10,CHILD_OF
11,10,PARENT
11,12,PARENT
13,11,CHILD_OF
13,11,PARENT
14,11,CHILD_OF
14,11,PARENT
15,10,CHILD_OF
15,10,PARENT
15,12,PARENT
13,15,CHILD_OF
13,15,PARENT
14,15,CHILD_OF
14,15,PARENT
16,15,CHILD_OF
16,15,PARENT
17,10,CHILD_OF
17,10,PARENT
17,12,PARENT
13,17,CHILD_OF
13,17,PARENT
18,10,CHILD_OF
18,10,PARENT
18,12,PARENT
19,18,CHILD_OF
19,18,PARENT
13,18,CHILD_OF
13,18,PARENT
14,18,CHILD_OF
14,18,PARENT
20,18,CHILD_OF
20,18,PARENT
21,10,CHILD_OF
21,10,PARENT
21,12,PARENT
19,21,CHILD_OF
19,21,PARENT
13,21,CHILD_OF
13,21,PARENT
14,21,CHILD_OF
14,21,PARENT
20,21,CHILD_OF
20,21,PARENT
22,10,CHILD_OF
22,10,PARENT
22,12,PARENT
13,22,CHILD_OF
13,22,PARENT
14,22,CHILD_OF
14,22,PARENT
16,22,CHILD_OF
16,22,PARENT
23,10,CHILD_OF
23,10,PARENT
23,12,PARENT
13,23,CHILD_OF
13,23,PARENT
24,10,CHILD_OF
24,10,PARENT
24,12,PARENT
25,10,CHILD_OF
25,10,PARENT
25,12,PARENT
20,25,CHILD_OF
20,25,PARENT
26,10,CHILD_OF
26,10,PARENT
26,12,PARENT
27,10,CHILD_OF
27,10,PARENT
27,12,PARENT
13,27,CHILD_OF
13,27,PARENT
14,27,CHILD_OF
14,27,PARENT
28,10,CHILD_OF
28,10,PARENT
28,12,PARENT
29,10,CHILD_OF
29,10,PARENT
